Laser Delay [ns];TA1 [mOD];TA2 [mOD];TA3 [mOD];TA4 [mOD];TA5 [mOD]
2960;0.242222;0.224080;0.394466;0.486037;0.337745
2970;0.164843;0.492988;0.441052;0.466372;0.481263
2980;0.431169;0.424646;0.470052;0.510122;0.583063
2990;0.721344;0.289437;0.548900;0.434575;0.319854
3000;0.378628;0.461827;0.406962;0.489687;0.154202
3010;-0.040592;0.465735;0.168916;0.588188;0.415737
3020;0.514965;0.402567;0.557984;0.193040;0.377345
3030;0.424260;0.636601;0.436042;0.465816;0.239070
3040;0.369563;0.549112;0.456878;0.251887;0.337235
3050;0.133889;0.352539;0.377043;0.554004;0.451306
3060;0.438084;0.328288;0.269424;0.363627;0.686174
3070;0.395131;0.717204;0.648028;0.390329;0.542383
3080;0.106761;0.571051;0.633224;0.403974;0.255727
3090;0.537017;0.698633;0.380321;0.352679;0.495202
3100;-0.112213;0.363064;0.367641;0.640019;0.467365
3110;-0.083448;0.439678;0.089583;0.374323;0.278983
3120;0.548677;0.530060;0.694852;0.233808;0.209431
3130;0.133405;0.448778;0.029003;0.223528;0.440359
3140;0.377474;0.241395;0.300133;0.265494;0.217756
3150;0.416713;0.547971;0.291492;0.534460;0.713961
3160;0.321564;0.256641;0.011609;0.476288;0.258701
3170;0.364649;0.297563;0.339817;0.427015;0.383401
3180;0.467786;0.354408;0.277494;0.171298;0.218382
3190;0.670547;0.192875;0.287055;0.255196;0.400375
3200;0.302956;0.515378;0.422846;0.485529;0.609019
3210;0.389626;0.411804;0.327561;0.377428;0.389219
3220;0.332604;0.388668;0.209791;0.482201;0.386886
3230;0.179745;0.186361;0.551870;0.462825;0.497532
3240;0.211415;0.360012;0.422861;0.322596;0.218545
3250;0.104322;0.413158;0.127183;0.501287;0.356725
3260;0.260711;0.326501;0.369552;0.551409;0.258961
3270;0.238815;0.330210;0.399648;0.328620;0.375926
3280;0.382386;0.481059;0.195141;0.323529;0.498092
3290;0.053657;0.284329;0.274294;0.309921;0.371420
3300;0.302357;0.243786;0.383988;0.482266;0.286807
3310;0.213894;0.413733;0.305023;-0.137098;0.501470
3320;0.025604;0.395098;0.508376;0.305208;0.351538
3330;0.045407;0.226232;0.258803;0.330079;0.363540
3340;0.144426;0.180667;0.043555;0.460634;0.126776
3350;0.429627;0.273184;0.233526;0.311700;0.376738
3360;0.328834;0.061858;0.398483;0.310100;0.383134
3370;0.216271;0.399049;0.203182;0.521318;0.360017
3380;0.106675;0.650406;0.216612;0.522542;0.213775
3390;0.653285;0.014502;0.114583;0.466705;0.214013
3400;0.213043;0.004841;0.426414;0.176898;0.220398
3410;0.271322;0.117976;0.158148;0.089923;0.153249
3420;0.346304;0.196670;0.188630;0.221893;0.082864
3430;0.470403;0.340986;-0.128938;0.337074;0.318111
3440;0.031917;0.205576;0.253864;0.380177;0.045477
3450;0.279744;0.341916;0.026133;-0.033418;0.004845
3460;0.266184;0.277901;0.568128;0.104032;0.229894
3470;0.218824;-0.056456;0.173878;0.526853;0.425643
3480;0.482261;0.423591;-0.104766;0.262159;0.170456
3490;0.207578;0.378982;0.056614;0.230706;0.300791
3500;0.335880;0.352900;0.294596;0.219406;0.286967
3510;0.229363;0.141611;0.108346;0.314005;0.251590
3520;0.066541;0.236354;0.171027;0.424947;0.266647
3530;0.317759;0.352926;0.333690;0.166082;0.082637
3540;0.057505;0.159616;0.387766;0.152858;0.392534
3550;-0.149064;0.263379;0.118412;0.342879;0.413705
3560;0.088844;0.174904;0.191614;0.352271;0.326704
3570;0.685338;0.204521;0.219511;-0.016423;0.381737
3580;0.100493;0.066193;0.184619;0.392949;0.137462
3590;0.344726;0.220778;0.617838;0.423057;0.048920
3600;0.417155;0.254995;0.319363;0.543799;0.576977
3610;0.088544;0.214238;0.002903;0.158807;0.236977
3620;0.301060;0.234651;0.286411;0.340009;0.181155
3630;0.040130;0.319410;0.291425;0.511346;0.327522
3640;0.375722;0.240801;0.245990;0.297873;0.179418
