Laser Delay [ns];TA1 [mOD];TA2 [mOD];TA3 [mOD]
3610;3.829392;3.795516;3.934225
3620;3.893490;3.837165;3.888982
3630;3.623041;3.821040;4.171684
3640;3.759571;4.163568;3.893108
3650;4.052091;3.935916;4.174150
3660;3.674538;3.932202;4.197867
3670;4.262121;3.957614;4.109868
3680;3.692554;4.169880;3.550236
3690;3.865062;3.802118;4.079130
3700;3.992748;3.626206;3.677539
3710;3.906644;4.058827;3.707240
3720;4.094389;4.407655;3.784529
3730;4.136090;3.583124;3.968949
3740;4.172714;4.392728;4.058321
3750;4.262895;3.912573;3.997326
3760;4.096861;3.925048;4.167333
3770;3.773606;4.145101;3.995513
3780;3.663186;4.214076;4.001749
3790;3.922042;3.936073;3.901474
3800;3.966218;4.262924;3.725465
3810;4.116696;3.687126;3.836257
3820;3.891644;3.970167;4.076442
3830;3.611569;4.173433;3.654607
3840;4.325768;3.964328;3.772417
3850;3.604238;4.074955;3.674667
3860;4.311556;3.937080;4.147457
3870;4.616926;3.763109;3.907966
3880;4.055355;4.050227;3.898288
3890;3.885065;3.899921;4.199287
3900;4.097962;3.828899;3.920653
3910;4.104743;4.088416;3.877315
3920;4.039744;3.651408;3.807595
3930;3.994835;3.709383;3.964450
3940;3.920702;3.460249;3.908786
3950;4.170561;3.614322;3.801617
3960;4.100607;4.180609;3.752524
3970;3.848892;3.859070;3.719250
3980;3.405052;4.144931;3.898609
3990;4.345154;4.269653;3.584385
4000;4.087295;3.674700;4.310228
4010;3.842359;4.104104;3.459464
4020;4.012938;3.998009;4.315583
4030;3.421062;4.042435;4.366575
4040;3.108069;3.640973;3.554874
4050;3.841709;3.878722;3.510131
4060;4.034977;4.349316;4.174721
4070;4.055214;4.120614;4.258537
4080;3.892916;3.772339;3.857481
4090;4.146733;3.982432;3.370645
4100;3.744025;3.815376;3.903559
4110;3.794848;3.874917;4.057388
4120;3.930207;3.640340;3.652017
4130;4.320223;3.647978;4.252327
4140;3.893798;3.658798;3.799578
4150;4.023665;4.187049;3.863464
4160;3.892707;3.783483;3.999721
4170;3.479474;4.044058;3.708301
4180;3.671751;3.636384;4.052511
4190;3.609284;3.989437;4.156461
4200;3.928566;3.716199;3.660451
4210;3.728145;4.187526;3.959052
4220;4.076240;3.785153;4.421061
4230;4.220373;4.307036;3.435727
4240;3.932966;3.656294;3.791801
4250;4.647538;4.381322;3.332974
4260;3.985217;3.845480;3.668972
4270;3.627679;3.978446;4.032376
4280;4.338082;3.925883;3.899974
4290;3.226364;3.632952;3.972153
4300;4.321920;4.191290;4.161663
4310;3.517960;3.592901;4.156610
4320;3.940519;3.956889;4.007396
4330;4.221919;3.532070;3.785465
4340;3.536220;4.269812;3.828873
4350;3.948706;4.139455;4.253705
4360;3.697669;3.364127;4.294118
4370;3.961556;3.966123;3.851010
4380;4.133463;4.527725;3.704961
4390;3.738479;4.406137;4.070396
4400;3.844779;3.493373;3.918193
4410;4.091089;3.741523;3.668315
