Laser Delay [ns];TA1 [mOD];TA2 [mOD];TA3 [mOD];TA4 [mOD];TA5 [mOD]
2230;2.311603;2.238793;2.352207;2.219449;2.249079
2240;2.274560;2.007658;2.134833;2.214591;2.164075
2250;2.209044;2.112698;2.076793;2.150066;2.644867
2260;2.291313;2.301984;2.016258;2.142904;2.413189
2270;1.930909;2.085142;2.345660;2.103987;1.930046
2280;2.160864;2.267215;2.188082;2.261603;2.267107
2290;2.380279;2.286154;2.116898;2.246968;2.326861
2300;2.526394;2.121756;2.322520;2.096597;1.882653
2310;2.659855;1.934985;2.113652;2.125316;2.280143
2320;2.148638;2.340132;2.059804;1.981656;1.911920
2330;2.161350;2.205397;1.959175;1.975890;2.180101
2340;2.341311;2.492085;2.183133;2.216743;2.186483
2350;2.332961;2.212688;2.120721;2.190206;2.260985
2360;2.070527;2.157015;2.341380;2.020785;2.393498
2370;2.366116;2.413097;1.882310;2.205606;2.183108
2380;2.152943;2.189047;1.816350;2.248751;2.099312
2390;1.915731;2.217408;2.289543;1.974966;2.059553
2400;2.483661;2.349683;1.926662;2.325697;2.215171
2410;2.120087;2.183406;2.470580;2.213068;2.080418
2420;2.373868;2.231134;2.085640;2.334679;2.371645
2430;2.327134;2.188573;1.989367;1.472996;1.899095
2440;2.197624;2.191430;2.335335;2.669878;2.053005
2450;2.130836;2.151796;2.394294;2.336631;1.938103
2460;2.450814;2.158722;2.268094;2.060877;2.282115
2470;1.646739;2.235588;1.887624;2.105439;2.189493
2480;2.110024;2.315659;2.022425;2.096596;2.523884
2490;2.352903;2.205857;2.372926;1.954161;2.093678
2500;1.708657;2.200722;2.463041;2.422724;2.070389
2510;1.862627;2.295574;2.127504;2.206033;2.049806
2520;2.145814;1.725145;2.219265;1.869628;2.216167
2530;2.342786;2.067796;2.331818;2.268468;2.081398
2540;2.144522;1.940752;2.005735;1.979835;2.046032
2550;2.153846;2.051675;2.045052;2.205263;2.071911
2560;1.856642;2.450542;2.194441;2.134573;2.157931
2570;2.144799;2.109989;2.134244;2.002783;2.173295
2580;1.963552;2.046127;2.086975;2.118874;2.124015
2590;2.094249;2.143105;2.246914;2.551673;1.669303
2600;1.851349;2.162712;2.120999;2.097409;1.901185
2610;2.257316;2.246005;2.223806;1.897956;1.835102
2620;2.295869;2.128246;1.897963;1.968517;2.054538
2630;1.916461;2.113051;2.267728;2.253674;1.985594
2640;2.188502;2.368553;2.499027;2.155055;2.318366
2650;2.217522;2.027719;2.268073;1.982101;2.168026
2660;1.906535;2.331204;2.574081;2.012992;1.983824
2670;2.200477;2.165403;2.094213;1.720426;2.144739
2680;2.118951;2.080074;1.747951;2.211099;2.395192
2690;2.446630;1.757028;2.237452;2.031347;1.942863
2700;1.982007;2.198471;2.011105;2.216604;2.165560
2710;2.411311;2.148059;1.930625;2.077943;2.103641
2720;2.302235;1.981554;2.190361;1.898569;2.210640
2730;2.162018;1.934831;1.958190;2.100637;1.756228
2740;2.286078;2.088890;2.118465;1.948858;2.093813
2750;1.762449;2.120573;2.329623;1.936570;1.941668
2760;1.742091;2.318282;1.989505;2.146131;1.886444
2770;2.350315;2.250101;2.059530;1.999091;1.845834
2780;2.024044;1.827926;1.878003;1.950106;1.777335
2790;2.102457;2.208881;2.168164;1.967270;2.149260
2800;1.851777;1.755004;1.764975;1.958209;2.211047
2810;2.038817;2.193349;1.974015;2.256312;2.357424
2820;2.030600;2.244437;2.282375;1.632486;1.942437
2830;2.029996;2.010397;1.838038;2.087045;1.943488
2840;2.016985;2.320036;1.825318;2.309459;2.078896
2850;2.156438;2.044263;2.015697;2.122145;2.099435
2860;2.061115;2.099236;2.209752;2.144315;1.849718
2870;1.935560;2.194941;2.063789;1.962650;2.089772
2880;2.067331;2.379686;2.280222;2.248113;2.089489
2890;2.070680;2.300369;1.942847;1.998800;2.006364
2900;1.929872;1.655580;2.074642;1.826150;1.825740
2910;2.039001;1.895127;2.429056;2.249181;2.145178
2920;1.988882;1.892449;2.401833;1.988126;2.117245
2930;1.923688;1.822567;2.220278;2.275889;2.423542
2940;1.707905;2.010166;2.077620;1.983342;2.154607
2950;2.000488;2.177552;2.031249;2.281843;2.130527
2960;2.178639;2.157865;2.072801;1.889185;1.583208
2970;1.859440;1.902365;2.095724;1.858959;2.085945
2980;2.007775;2.095843;2.000818;1.969984;1.967224
