Laser Delay [ns];TA1 [mOD];TA2 [mOD];TA3 [mOD]
3930;3.757837;3.793188;3.857807
3940;3.567125;3.895160;3.935837
3950;3.847539;3.690189;3.292343
3960;3.807064;3.877329;3.813868
3970;3.488638;3.429602;3.671797
3980;3.465756;3.978670;3.553635
3990;3.613452;3.853050;3.484558
4000;3.636193;3.721628;3.443517
4010;3.565893;3.473394;3.766513
4020;3.701969;3.387120;3.536660
4030;3.699582;3.608756;3.599823
4040;3.309908;3.454286;3.723318
4050;3.637399;3.664563;3.409887
4060;3.631306;3.684949;3.922407
4070;3.489305;3.670905;3.713471
4080;3.686011;3.521129;3.603969
4090;3.593836;3.676161;3.406149
4100;3.697397;3.854766;3.697905
4110;3.775068;3.709476;3.899756
4120;3.679021;4.004193;3.734568
4130;3.761252;3.698800;3.641096
4140;3.624261;3.534443;3.905884
4150;3.758636;3.892428;3.807058
4160;3.848793;3.551395;3.852983
4170;3.757886;3.640409;3.803293
4180;3.714228;3.724503;3.524959
4190;3.678111;3.685374;3.561117
4200;3.828504;3.746887;3.440014
4210;3.954321;3.841572;3.759747
4220;3.848892;3.659097;3.723894
4230;3.580281;3.705838;3.520570
4240;3.743831;3.562795;3.650070
4250;3.598187;3.690112;3.655537
4260;3.731979;3.733568;3.519975
4270;4.012051;3.769605;3.855963
4280;3.889234;3.868192;3.419115
4290;3.841150;3.477079;3.986207
4300;3.569321;3.656183;3.921346
4310;3.508206;3.378519;3.606447
4320;3.550326;3.519382;3.801411
4330;3.600029;3.708966;3.793412
4340;3.776884;3.637619;3.669415
4350;3.719034;3.705463;3.749679
4360;3.634178;3.499857;3.986370
4370;3.639648;3.815889;3.559090
4380;3.597742;3.610900;3.468930
4390;3.410326;3.590612;3.656711
4400;3.665479;3.778326;3.723708
4410;3.826018;4.137186;3.643689
4420;3.630465;3.842779;3.754526
4430;3.648982;3.588260;3.959622
4440;3.408067;3.336914;3.721798
4450;3.287688;3.093236;3.512627
4460;3.238683;3.508595;3.471539
4470;3.778729;3.171992;3.661578
4480;3.729962;3.730559;3.766413
4490;3.549802;3.824362;3.723364
4500;3.467274;3.512375;3.375302
4510;3.722423;3.684509;3.768872
4520;3.553843;3.820639;3.863643
4530;3.816750;3.517927;3.619628
4540;3.661286;3.576353;3.824431
4550;3.607847;3.625481;3.635550
4560;3.637203;3.573201;3.613061
4570;3.484594;3.582190;3.641838
4580;3.644989;3.588555;3.833507
4590;3.754174;4.002333;3.488749
4600;3.994770;3.843340;3.658521
4610;3.467763;3.850193;3.492516
4620;3.767450;3.726119;3.383352
4630;3.612422;3.397226;3.859955
4640;3.631647;3.706203;3.508507
4650;3.518995;3.748042;3.842466
4660;3.773545;3.630772;3.658051
4670;3.951991;3.551970;3.508632
4680;3.543629;3.565517;3.499497
4690;3.558574;4.018835;3.680820
4700;3.635169;3.491699;3.601773
4710;3.348257;3.464336;3.727084
4720;3.720224;3.686503;3.836872
4730;3.910681;3.756275;3.634757
4740;3.639529;3.775776;3.445615
4750;3.779261;3.560233;3.667300
4760;3.541502;3.782945;3.667721
4770;3.890466;3.862995;3.946341
4780;3.405097;3.815143;3.574616
